Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,,Price
Maruti Swift Dzire VDi,Hyderabad,2010,130000,Diesel,Manual,First,19.3,1248,73.9,5,3.65,365000
Tata Sumo DX,Mumbai,2013,20000,Diesel,Manual,First,14.07,1978,83.1,10,5.25,525000
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Hyderabad,2016,76000,Diesel,Automatic,First,15.97,2993,258,7,58,5800000
Honda City i-VTEC CVT VX,Mumbai,2015,30000,Petrol,Automatic,First,18,1497,117.3,5,8.65,865000
Tata Indigo eCS eLX BS IV,Delhi,2015,150000,Diesel,Manual,First,25,1396,69.01,5,2.5,250000
Volkswagen Vento TSI,Chennai,2014,28000,Petrol,Automatic,First,16.93,1197,103.6,5,7.75,775000
Maruti Celerio VXI,Bangalore,2015,74000,Petrol,Manual,First,23.1,998,67.04,5,4.15,415000
Toyota Fortuner 3.0 Diesel,Delhi,2011,75000,Diesel,Manual,First,11.5,2982,171,7,10.85,1085000
Mitsubishi Outlander 2.4,Delhi,2010,76000,Petrol,Automatic,Second,11.3,2360,170,5,5.53,553000
Volkswagen Jetta 2007-2011 1.9 Highline TDI,Pune,2014,64889,Diesel,Automatic,First,15.5,1896,105,5,11.5,1150000
Hyundai Creta 1.6 CRDi SX,Kolkata,2015,43000,Diesel,Manual,First,19.67,1582,126.2,5,9.25,925000
Skoda Fabia 1.2 MPI Ambiente Petrol,Pune,2011,47490,Petrol,Manual,First,17.5,1198,75,5,2.29,229000
Ford EcoSport 1.5 TDCi Titanium,Chennai,2015,80000,Diesel,Manual,First,22.77,1498,98.59,5,7,700000
Maruti Zen Estilo 1.1 LXI BSIII,Bangalore,2007,60000,Petrol,Manual,Second,18.2,1061,64,5,1.65,165000
Maruti Ciaz 1.4 Delta,Ahmedabad,2017,6006,Petrol,Manual,First,20.73,1373,91.1,5,8.25,825000
Mercedes-Benz New C-Class C 200 Avantgarde Edition C,Kochi,2011,71703,Petrol,Automatic,First,14.74,1991,181.03,5,9.14,914000
Honda Amaze SX i-VTEC,Hyderabad,2016,33000,Petrol,Manual,First,17.8,1198,86.7,5,6.5,650000
Renault Duster 85PS Diesel RxL,Jaipur,2015,91000,Diesel,Manual,First,19.87,1461,83.8,5,5.75,575000
Maruti Wagon R LXI LPG BSIV,Hyderabad,2012,72000,LPG,Manual,First,26.2,998,58.2,5,2.85,285000
Volkswagen Polo Petrol Highline 1.2L,Kolkata,2011,43000,Petrol,Manual,Second,16.47,1198,73.9,5,2.1,210000
Hyundai Creta 1.6 SX Plus Diesel,Coimbatore,2017,63770,Diesel,Manual,First,19.67,1582,126.2,5,13.55,1355000
Jaguar XF Diesel,Kolkata,2012,43510,Diesel,Automatic,First,14.74,2993,270.9,5,20.5,2050000
Jeep Compass 2.0 Limited 4X4,Mumbai,2017,52000,Diesel,Manual,First,16.3,1956,170,5,20,2000000
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,Kochi,2018,31427,Diesel,Automatic,First,15.68,1999,177,5,59.72,5972000
Maruti Baleno Alpha Diesel,Kolkata,2016,29000,Diesel,Manual,First,27.39,1248,74,5,6.5,650000
Maruti Ciaz ZDi SHVS,Ahmedabad,2016,56000,Diesel,Manual,First,28.09,1248,88.5,5,7.5,750000
Maruti SX4 Vxi BSIII,Jaipur,2007,76000,Petrol,Manual,Second,15,1586,104.68,5,2.15,215000
Hyundai Elantra CRDi SX,Coimbatore,2015,53615,Diesel,Manual,First,22.7,1582,126.24,5,8.44,844000
Mitsubishi Pajero Sport 4X4,Bangalore,2013,132000,Diesel,Manual,First,13.5,2477,175.56,7,12.49,1249000
Volkswagen Ameo 1.2 MPI Comfortline,Pune,2017,14800,Petrol,Manual,First,17,1198,73.75,5,5.48,548000
Maruti Ritz VXi,Hyderabad,2013,35433,Petrol,Manual,First,18.5,1197,85.8,5,4.2,420000
Hyundai Verna CRDi SX,Hyderabad,2013,82966,Diesel,Manual,First,16.8,1493,110,5,7.2,720000
Maruti Swift Dzire Tour LDI,Jaipur,2014,96000,Diesel,Manual,First,23.4,1248,74,5,4.8,480000
Mahindra KUV 100 mFALCON D75 K6,Kochi,2017,39528,Diesel,Manual,First,25.32,1198,77,6,5.83,583000
Toyota Innova Crysta 2.4 ZX MT,Coimbatore,2018,92056,Diesel,Manual,First,13.68,2393,147.8,7,18.39,1839000
Maruti Baleno Delta 1.2,Pune,2016,14930,Petrol,Manual,First,21.4,1197,83.1,5,5.85,585000
Honda Jazz VX Diesel,Mumbai,2016,38000,Diesel,Manual,First,27.3,1498,98.6,5,6.21,621000
Hyundai i20 1.2 Asta,Delhi,2013,71000,Petrol,Manual,First,17,1197,80,5,3.65,365000
Hyundai i20 Sportz Diesel,Delhi,2012,71000,Diesel,Manual,First,23,1396,90,5,3.7,370000
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Pune,2015,50000,Diesel,Automatic,First,19.27,2143,167.62,5,30,3000000
Hyundai Xcent 1.2 Kappa Base,Kochi,2016,48163,Petrol,Manual,First,19.1,1197,82,5,4.85,485000
Hyundai Grand i10 AT Asta,Coimbatore,2017,19168,Petrol,Automatic,First,18.9,1197,82,5,6.93,693000
Maruti Alto 800 VXI,Kolkata,2016,26000,Petrol,Manual,First,22.74,796,47.3,5,2.6,260000
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2012,95000,Petrol,Automatic,First,13.7,1798,157.75,5,10,1000000
Audi A4 2.0 TDI,Kolkata,2009,34000,Diesel,Automatic,First,16.55,1968,147.51,5,9.95,995000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Mumbai,2014,95000,Diesel,Manual,Second,12.8,2494,102,8,9.45,945000
Mercedes-Benz CLA 200 CDI Sport,Coimbatore,2017,13689,Diesel,Automatic,First,17.9,2143,136,5,28.25,2825000
Hyundai i10 Era,Jaipur,2008,84000,Petrol,Manual,Second,19.81,1086,68.05,5,1.8,180000
Maruti Swift Dzire VXi,Kolkata,2008,47000,Petrol,Manual,Second,17.5,1298,85.8,5,1.4,140000
Skoda Rapid 1.5 TDI AT Ambition,Ahmedabad,2015,60001,Diesel,Automatic,First,21.66,1498,103.52,5,7.25,725000
Maruti Ritz VDi,Hyderabad,2012,96000,Diesel,Manual,First,21.1,1248,73.9,5,3.6,360000
Hyundai Accent GLS 1.6,Jaipur,2004,47300,Petrol,Manual,Second,14.4,1599,94,5,1.2,120000
Honda Amaze SX i-VTEC,Coimbatore,2014,28246,Petrol,Manual,Second,17.8,1198,86.7,5,4.94,494000
Maruti Wagon R LXI,Delhi,2007,65000,Petrol,Manual,Second,18.9,998,67.1,5,1.25,125000
Volkswagen Polo Diesel Comfortline 1.2L,Chennai,2013,68000,Diesel,Manual,Second,22.07,1199,73.9,5,4.8,480000
Ford Endeavour 2.2 Trend AT 4X2,Kochi,2019,11209,Diesel,Automatic,First,12.62,2198,158,7,31.15,3115000
Hyundai i20 1.2 Sportz,Pune,2011,41980,Petrol,Manual,Second,17,1197,80,5,3.3,330000
Chevrolet Beat Diesel PS,Bangalore,2012,65000,Diesel,Manual,First,25.44,936,57.6,5,2.4,240000
Honda Civic 2010-2013 1.8 V MT,Kolkata,2010,38000,Petrol,Manual,First,14.8,1799,130.2,5,2,200000
Maruti Wagon R VXI BS IV,Pune,2014,51000,Petrol,Manual,First,20.51,998,67.04,5,3.1,310000
Skoda Rapid 1.6 MPI Ambition Plus,Kochi,2014,33855,Petrol,Manual,First,15,1598,103.6,5,5.09,509000
Maruti Baleno Vxi - BSIII,Pune,2006,146000,Petrol,Manual,Second,15.4,1590,94,5,1.05,105000
Ford EcoSport 1.5 TDCi Titanium,Bangalore,2015,47037,Diesel,Manual,Second,22.77,1498,98.59,5,7,700000
Hyundai Accent GLE,Ahmedabad,2010,58000,Petrol,Manual,Second,13.2,1495,94,5,2.5,250000
BMW 5 Series 520d Luxury Line,Mumbai,2012,61240,Diesel,Automatic,First,22.48,1995,190,5,17.5,1750000
Maruti Alto K10 2010-2014 VXI,Chennai,2011,91211,Petrol,Manual,First,20.92,998,67.1,5,2.1,210000
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Bangalore,2013,84000,Diesel,Automatic,First,15.73,1968,174.33,5,17.75,1775000
Maruti Wagon R LXI DUO BSIII,Mumbai,2008,64226,LPG,Manual,First,17.3,1061,57.5,5,1.45,145000
Toyota Corolla H4,Bangalore,2005,67000,Petrol,Automatic,Second,11.3,1794,125,5,2.45,245000
Volvo XC60 D5,Pune,2011,106976,Diesel,Automatic,First,13.5,2400,215,5,13.8,1380000
Honda Jazz 1.5 VX i DTEC,Kolkata,2016,27210,Diesel,Manual,First,27.3,1498,98.6,5,5.85,585000
Maruti Ciaz 1.3 Alpha,Delhi,2017,26322,Diesel,Manual,First,28.09,1248,88.5,5,8.9,890000
Maruti Swift VXI BSIV,Mumbai,2016,9107,Petrol,Manual,First,20.4,1197,81.8,5,5.15,515000
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2015,63983,Diesel,Automatic,First,19.27,2143,170,5,16.56,1656000
Maruti Wagon R VXI Minor,Chennai,2010,134000,Petrol,Manual,Second,18.9,1061,67,5,1.65,165000
Mercedes-Benz A Class A180 Sport,Pune,2015,11000,Petrol,Automatic,First,15.5,1595,120.7,5,16,1600000
Maruti Swift Dzire AMT ZDI,Coimbatore,2017,24852,Diesel,Automatic,First,26.59,1248,74,5,8.08,808000
Hyundai Grand i10 AT Asta,Pune,2014,37632,Petrol,Automatic,First,18.9,1197,82,5,4.5,450000
Nissan Sunny 2011-2014 XV Special Edition,Chennai,2013,55000,Petrol,Manual,Second,16.95,1498,97.7,5,4.3,430000
Maruti A-Star Lxi,Hyderabad,2010,81448,Petrol,Manual,First,19,998,66.1,5,2.6,260000
Renault KWID RXT Optional,Hyderabad,2018,1900,Petrol,Manual,First,25.17,799,53.3,5,4.45,445000
Hyundai Verna 1.6 SX VTVT (O) AT,Coimbatore,2012,54957,Petrol,Automatic,First,17.1,1591,121.4,5,5.37,537000
Maruti Wagon R LXI Minor,Chennai,2008,55000,Petrol,Manual,Second,18.9,1061,67,5,1.75,175000
BMW 3 Series 320d Sport Line,Kolkata,2013,21983,Diesel,Automatic,First,18.88,1995,184,5,16.5,1650000
BMW 5 Series 2003-2012 520d,Delhi,2013,76000,Diesel,Automatic,First,18.48,1995,177,5,19,1900000
Tata Indigo CS eVX,Jaipur,2016,65000,Diesel,Manual,First,25,1396,69.01,5,2.8,280000
Hyundai i20 Sportz 1.4 CRDi,Hyderabad,2015,26000,Diesel,Manual,First,22.54,1396,88.73,5,6.2,620000
Maruti Omni E MPI STD BS IV,Kochi,2019,11571,Petrol,Manual,First,16.8,796,34.2,8,3.8,380000
Maruti Swift ZDi,Hyderabad,2014,81000,Diesel,Manual,First,25.2,1248,74,5,6.1,610000
Ford Ecosport Signature Edition Diesel,Coimbatore,2019,23154,Diesel,Manual,First,23,1498,98.96,5,11.65,1165000
Honda Brio VX AT,Mumbai,2014,26856,Petrol,Automatic,First,16.5,1198,86.8,5,4.15,415000
Toyota Innova Crysta 2.4 GX MT,Chennai,2017,67489,Diesel,Manual,First,13.68,2393,147.8,7,16.5,1650000
Mahindra Scorpio 2.6 LX,Bangalore,2008,176000,Diesel,Manual,Second,10.5,2179,120,8,4.3,430000
Hyundai i20 1.2 Magna,Kolkata,2010,18000,Petrol,Manual,First,18.5,1197,80,5,2.25,225000
Hyundai Verna 1.6 SX,Ahmedabad,2014,63003,Diesel,Manual,First,22.32,1582,126.32,5,6.75,675000
Mahindra XUV500 W6 2WD,Chennai,2014,80000,Diesel,Manual,First,15.1,2179,140,7,9.4,940000
Volkswagen Vento 1.5 TDI Comfortline,Coimbatore,2014,56658,Diesel,Manual,First,20.64,1498,108.5,5,5.39,539000
Maruti Swift Dzire VDI Optional,Kochi,2019,18592,Diesel,Manual,First,26.59,1248,74,5,8.51,851000
Tata Manza Aura Safire BS IV,Pune,2010,75695,Petrol,Manual,First,13.7,1368,88.8,5,1.85,185000
Maruti Swift VDI,Kolkata,2012,82000,Diesel,Manual,Second,22.9,1248,74,5,2.5,250000
Volkswagen Polo Diesel Highline 1.2L,Chennai,2013,60000,Diesel,Manual,First,22.07,1199,73.9,5,4.75,475000
Honda City 1.5 V MT,Pune,2009,138000,Petrol,Manual,Second,17,1497,118,5,3.5,350000
Hyundai i20 Asta (o) 1.4 CRDi (Diesel),Bangalore,2014,67000,Diesel,Manual,First,23,1396,90,5,5.5,550000
Honda City 1.5 V MT,Coimbatore,2012,42750,Petrol,Manual,First,17,1497,118,5,6.33,633000
Chevrolet Beat Diesel,Kochi,2014,52398,Diesel,Manual,First,25.44,936,57.6,5,2.47,247000
Chevrolet Spark 1.0 LS,Kochi,2014,36657,Petrol,Manual,First,16.2,995,62.1,5,3.3,330000
Tata New Safari DICOR 2.2 EX 4x2,Delhi,2011,77000,Diesel,Manual,Second,11.57,2179,138.1,7,3.5,350000
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Delhi,2014,85000,Diesel,Automatic,First,11.3,2987,254.8,7,38.75,3875000
BMW 5 Series 2003-2012 530d Highline,Pune,2008,112500,Diesel,Automatic,First,11.5,2993,235,5,7.99,799000
Toyota Fortuner 2.8 4WD MT,Kochi,2013,105072,Diesel,Manual,First,14.24,2755,174.5,7,13.28,1328000
BMW X1 sDrive 18i,Pune,2012,80000,Petrol,Automatic,First,11.25,1995,150,5,9.5,950000
Renault Captur 1.5 Diesel Platine Mono,Kochi,2019,3102,Diesel,Manual,First,20.37,1461,108.45,5,14.01,1401000
Hyundai Xcent 1.1 CRDi S,Coimbatore,2016,14656,Diesel,Manual,First,24.4,1120,71,5,6.99,699000
BMW 3 Series 320d,Hyderabad,2010,105000,Diesel,Automatic,Second,13.2,1995,170,5,11,1100000
BMW 5 Series 2010-2013 525i,Hyderabad,2008,61000,Petrol,Automatic,Second,10.8,2497,215,5,11,1100000
Nissan Micra XE,Pune,2010,85046,Petrol,Manual,Second,18.06,1198,75,5,2.3,230000
Jaguar XF 2.2 Litre Luxury,Delhi,2014,48000,Diesel,Automatic,First,16.36,2179,187.7,5,26.5,2650000
Land Rover Range Rover TDV8 (Diesel),Bangalore,2011,55000,Diesel,Automatic,First,10.2,4367,308,7,67,6700000
Jeep Compass 1.4 Limited Option,Mumbai,2017,4000,Petrol,Automatic,First,16,1368,160,5,17.75,1775000
Honda CR-V 2.4 AT,Delhi,2010,94000,Petrol,Automatic,Second,10.1,2354,152,5,4.8,480000
Maruti Swift VXI,Coimbatore,2013,61110,Petrol,Manual,First,18.6,1197,85.8,5,4.57,457000
Hyundai Xcent 1.1 CRDi S,Chennai,2016,80000,Diesel,Manual,First,24.4,1120,71,5,3.5,350000
Nissan Terrano XV Premium 110 PS,Kochi,2015,43190,Diesel,Manual,First,19.01,1461,108.5,5,7.61,761000
Audi A4 35 TDI Technology,Hyderabad,2015,45000,Diesel,Automatic,First,18.25,1968,187.74,5,25,2500000
Hyundai Grand i10 Asta Option,Coimbatore,2016,44178,Petrol,Manual,First,18.9,1197,82,5,5.88,588000
Toyota Innova 2.5 G (Diesel) 8 Seater,Hyderabad,2015,84415,Diesel,Manual,First,12.99,2494,100.6,8,13.5,1350000
Hyundai i20 1.2 Magna,Kolkata,2015,35000,Petrol,Manual,First,18.5,1197,80,5,4.6,460000
Ford EcoSport 1.5 TDCi Titanium,Kolkata,2013,44000,Diesel,Manual,First,22.77,1498,98.59,5,4.9,490000
Honda City 1.5 S MT,Hyderabad,2012,67635,Petrol,Manual,First,17,1497,118,5,5.25,525000
Ford EcoSport 1.5 Petrol Titanium Plus AT,Coimbatore,2018,18385,Petrol,Automatic,First,14.8,1497,121.36,5,12.41,1241000
Volkswagen Polo Diesel Highline 1.2L,Kolkata,2014,35000,Diesel,Manual,First,22.07,1199,73.9,5,3.8,380000
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Mumbai,2010,49000,Diesel,Automatic,First,19.27,2143,170,5,8.95,895000
Ford Ecosport 1.5 DV5 MT Titanium,Hyderabad,2013,69000,Diesel,Manual,First,22.7,1498,89.84,5,7.2,720000
Tata Indigo GLE,Hyderabad,2017,23228,Petrol,Manual,First,14.4,1396,65,5,4.5,450000
Maruti Swift Dzire LDI,Delhi,2014,68462,Diesel,Manual,First,26.59,1248,74,5,4.15,415000
Maruti S-Cross Zeta DDiS 200 SH,Coimbatore,2016,74611,Diesel,Manual,First,25.1,1248,88.5,5,7.94,794000
Renault Duster 110PS Diesel RxZ Pack,Pune,2014,90000,Diesel,Manual,First,19.01,1461,108.45,5,7.25,725000
Maruti Wagon R VXI,Delhi,2016,22000,Petrol,Manual,First,18.9,998,67.1,5,3.7,370000
Chevrolet Beat Diesel LT,Chennai,2011,109500,Diesel,Manual,Third,25.44,936,57.6,5,1.5,150000
Mahindra XUV500 W4 1.99 mHawk,Delhi,2017,13363,Diesel,Manual,First,16,1997,140,7,12,1200000
Hyundai i10 Era 1.1,Delhi,2012,51000,Petrol,Manual,Second,19.81,1086,68.05,5,2.2,220000
Tata New Safari DICOR 2.2 EX 4x4,Hyderabad,2007,103000,Diesel,Manual,First,13.93,2179,138,7,3.6,360000
Hyundai i10 Sportz,Kolkata,2009,43002,Petrol,Manual,First,20.36,1197,78.9,5,1.92,192000
Toyota Innova Crysta 2.8 ZX AT,Bangalore,2016,108000,Diesel,Automatic,First,11.36,2755,171.5,7,20.5,2050000
Skoda Laura Elegance MT,Jaipur,2010,82407,Diesel,Manual,First,17.5,1896,106,5,4.25,425000
Hyundai Grand i10 Sportz,Kolkata,2013,29000,Petrol,Manual,First,18.9,1197,82,5,3.2,320000
Maruti Swift Dzire VDI,Kolkata,2014,45000,Diesel,Manual,First,23.4,1248,74,5,3.85,385000
Hyundai i20 Asta 1.4 CRDi (Diesel),Kochi,2010,93401,Diesel,Manual,First,23,1396,90,5,3.48,348000
Ford Figo 2015-2019 1.5D Trend MT,Hyderabad,2017,95802,Diesel,Manual,Second,25.83,1498,99,5,4.55,455000
Maruti Ertiga VDI,Pune,2016,130000,Diesel,Manual,First,25.47,1248,88.5,7,7,700000
Maruti Ertiga ZDI,Ahmedabad,2013,67443,Diesel,Manual,First,20.77,1248,88.8,7,5.75,575000
Honda City 1.5 V AT Sunroof,Kochi,2016,47681,Petrol,Automatic,First,16.8,1497,116.3,5,8.73,873000
Maruti Alto LXi BSIII,Hyderabad,2009,35000,Petrol,Manual,First,19.7,796,46.3,5,1.7,170000
Ford Endeavour 3.2 Titanium AT 4X4,Hyderabad,2016,68000,Diesel,Automatic,First,10.91,3198,197,7,29.5,2950000
Maruti Vitara Brezza ZDi Plus,Kochi,2019,34688,Diesel,Manual,First,24.3,1248,88.5,5,10.49,1049000
Porsche Boxster S tiptronic,Kolkata,2015,10512,Petrol,Automatic,First,8.6,2706,265,2,64,6400000
Maruti Swift ZDi,Pune,2016,58000,Diesel,Manual,First,22.9,1248,74,5,7.55,755000
Tata Zest Revotron 1.2 XT,Mumbai,2014,40000,Petrol,Manual,First,17.57,1193,88.7,5,3.95,395000
Hyundai i20 1.2 Sportz Option,Bangalore,2010,61000,Petrol,Manual,Fourth & Above,17,1197,80,5,3.25,325000
Skoda Fabia 1.4 TDI Active,Mumbai,2009,86000,Diesel,Manual,First,19.4,1422,70,5,2.75,275000
Toyota Corolla Altis D-4D J,Kolkata,2015,45000,Diesel,Manual,First,21.43,1364,87.2,5,7.35,735000
Volkswagen Ameo 1.2 MPI Comfortline,Ahmedabad,2017,55000,Petrol,Manual,First,17,1198,73.75,5,4.7,470000
Hyundai Creta 1.6 VTVT S,Kochi,2016,36855,Petrol,Manual,Second,15.29,1591,121.3,5,8.77,877000
Hyundai i10 Magna 1.2,Kochi,2013,46821,Petrol,Manual,First,20.36,1197,78.9,5,3.42,342000
Chevrolet Beat LS,Kolkata,2015,120000,Petrol,Manual,First,18.6,1199,76.8,5,2.5,250000
Jaguar XF 3.0 Litre S Premium Luxury,Kolkata,2012,29000,Diesel,Automatic,First,14.74,2993,270.9,5,20,2000000
Nissan Terrano XL,Mumbai,2014,40000,Petrol,Manual,First,13.24,1598,102.5,5,5.25,525000
Audi Q3 2012-2015 2.0 TDI Quattro Premium Plus,Delhi,2013,60000,Diesel,Automatic,Second,15.73,1968,174.33,5,14.5,1450000
Hyundai i10 Asta AT,Mumbai,2011,64984,Petrol,Automatic,First,16.95,1197,78.9,5,3.45,345000
Maruti Alto K10 VXI AGS,Pune,2015,73204,Petrol,Automatic,First,24.07,998,67.1,5,3.3,330000
Audi Q7 4.2 TDI Quattro Technology,Bangalore,2014,50000,Diesel,Automatic,First,11.33,4134,335.2,7,51,5100000
Maruti Vitara Brezza VDi,Kolkata,2017,35000,Diesel,Manual,First,24.3,1248,88.5,5,6.5,650000
Hyundai EON D Lite Plus,Hyderabad,2013,17729,Petrol,Manual,First,21.1,814,55.2,5,3.65,365000
Mahindra XUV300 W8 Diesel,Chennai,2012,97000,Diesel,Manual,First,20,1497,115,5,7.25,725000
Hyundai Verna CRDi 1.6 SX Option,Kochi,2014,89614,Diesel,Manual,First,22,1582,126.2,5,6.01,601000
Maruti Wagon R VXI,Kolkata,2015,14000,Petrol,Manual,First,18.9,998,67.1,5,2.8,280000
Hyundai i20 Sportz Option,Chennai,2012,50000,Petrol,Manual,First,17,1197,80,5,4,400000
Honda City i VTEC V,Delhi,2014,62505,Petrol,Manual,First,17.4,1497,117.3,5,5.95,595000
Toyota Innova 2.5 V Diesel 7-seater,Chennai,2011,248000,Diesel,Manual,Second,12.8,2494,102,7,9.2,920000
Hyundai Verna CRDi SX,Pune,2012,94900,Diesel,Manual,First,16.8,1493,110,5,5.35,535000
Tata Hexa XT,Delhi,2017,55000,Diesel,Manual,First,17.6,2179,153.86,7,12,1200000
Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,53735,Diesel,Automatic,Second,12.07,2967,241.4,7,38.94,3894000
Maruti Wagon R VXI,Coimbatore,2008,53934,Petrol,Manual,Second,18.9,998,67.1,5,2.69,269000
BMW 5 Series 2013-2017 525d Luxury Line,Bangalore,2013,58500,Diesel,Automatic,Second,17.09,1995,218,5,27.5,2750000
Honda Amaze EX i-Vtech,Kolkata,2014,48000,Petrol,Manual,First,18,1198,86.7,5,2.75,275000
Maruti Alto 800 2016-2019 LXI,Mumbai,2016,24000,Petrol,Manual,First,24.7,796,47.3,5,2.8,280000
Hyundai Verna 1.6 SX VTVT,Mumbai,2016,52001,Petrol,Manual,First,17.01,1591,121.3,5,6.45,645000
Tata Tiago 1.2 Revotron XZ,Coimbatore,2018,9565,Petrol,Manual,First,23.84,1199,84,5,5.88,588000
Maruti Swift LXI,Pune,2013,32953,Petrol,Manual,First,18.6,1197,85.8,5,4.65,465000
Hyundai EON Era,Jaipur,2014,18000,Petrol,Manual,First,21.1,814,55.2,5,2.5,250000
Mercedes-Benz E-Class E 220 d,Kochi,2018,20446,Petrol,Automatic,First,12.6,1950,191.34,5,51.35,5135000
Hyundai i20 Magna 1.4 CRDi,Hyderabad,2016,33016,Diesel,Manual,First,22.54,1396,88.73,5,6.85,685000
Toyota Etios VD,Chennai,2012,48000,Diesel,Manual,First,23.59,1364,67.05,5,5.25,525000
Toyota Corolla Altis Diesel D4DG,Coimbatore,2014,72022,Diesel,Manual,First,21.43,1364,87.2,5,9.23,923000
Mini Cooper 5 DOOR D,Ahmedabad,2014,34000,Diesel,Automatic,First,20.7,1496,113.98,5,22,2200000
Volkswagen Polo 1.5 TDI Highline,Hyderabad,2014,69000,Diesel,Manual,First,20.14,1498,88.8,5,5.19,519000
Skoda Superb Elegance 1.8 TSI AT,Pune,2009,108000,Petrol,Automatic,First,13.7,1798,157.75,5,4.35,435000
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Hyderabad,2013,34700,Diesel,Automatic,First,10,2148,170,5,24.5,2450000
Maruti Swift VDi BSIII W/ ABS,Pune,2015,79000,Diesel,Manual,First,17.8,1248,75,5,5.75,575000
Honda City i VTEC CVT VX,Kochi,2016,58197,Petrol,Automatic,First,18,1497,117.3,5,9.19,919000
BMW 7 Series 2007-2012 740Li,Pune,2008,66000,Petrol,Automatic,Second,8.45,2979,321,5,10.75,1075000
Hyundai i10 Magna AT,Bangalore,2009,60000,Petrol,Automatic,First,19.2,1197,80,5,2.99,299000
Maruti Swift Dzire VDI,Kolkata,2014,57000,Diesel,Manual,First,26.59,1248,74,5,3.89,389000
Honda City i DTec VX,Coimbatore,2018,45555,Diesel,Manual,First,26,1498,98.6,5,11.73,1173000
Maruti Omni 8 Seater BSIV,Coimbatore,2016,55137,Petrol,Manual,First,14,796,35,5,3.11,311000
Skoda Superb 2009-2014 Elegance 2.0 TDI MT,Jaipur,2014,93325,Diesel,Manual,Second,17.2,1968,138.1,5,14.45,1445000
Maruti Ertiga SHVS VDI,Ahmedabad,2018,38000,Diesel,Manual,First,24.52,1248,88.5,7,8.7,870000
Hyundai Grand i10 CRDi Magna,Kochi,2016,57738,Diesel,Manual,First,24,1120,70,5,5.04,504000
Maruti Ciaz VDi Plus SHVS,Jaipur,2017,38282,Diesel,Manual,First,28.09,1248,88.5,5,8.5,850000
Mercedes-Benz New C-Class C 220 CDI Avantgarde,Delhi,2014,64000,Diesel,Automatic,First,19.27,2143,170,5,15.65,1565000
Fiat Avventura MULTIJET Emotion,Mumbai,2015,32000,Diesel,Manual,First,20.5,1248,91.72,5,5.65,565000
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,Bangalore,2010,83000,Petrol,Automatic,First,10.93,2497,204,5,16.5,1650000
Maruti Zen Estilo LXI Green (CNG),Ahmedabad,2011,76000,CNG,Manual,First,26.3,998,67.1,5,2,200000
Volkswagen Vento Petrol Highline,Pune,2012,67200,Petrol,Manual,First,15.04,1598,103.6,5,3.9,390000
BMW 3 Series 320d Luxury Line,Jaipur,2013,62655,Diesel,Automatic,First,18.88,1995,184,5,14.5,1450000
BMW 5 Series 2013-2017 530d M Sport,Bangalore,2015,16900,Diesel,Automatic,First,14.69,2993,258,5,44,4400000
Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,8471,Petrol,Manual,First,18.9,1197,81.86,5,5,500000
Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2016,69000,Diesel,Automatic,First,11.36,2755,171.5,7,19.75,1975000
Renault Duster 110PS Diesel RxZ AMT,Coimbatore,2017,30090,Diesel,Automatic,First,19.6,1461,108.45,5,11.44,1144000
Tata Indica Vista Aura 1.3 Quadrajet,Chennai,2011,120000,Diesel,Manual,First,18,1248,75,5,1.75,175000
Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,Kochi,2016,35939,Petrol,Manual,First,12.3,1796,185,5,30.42,3042000
Mahindra XUV500 W8 4WD,Coimbatore,2013,116694,Diesel,Manual,First,15.1,2179,140,7,9.57,957000
Mahindra Bolero ZLX,Mumbai,2016,40448,Diesel,Manual,First,15.96,2523,62.1,7,3.5,350000
Maruti Vitara Brezza ZDi,Coimbatore,2018,64456,Diesel,Manual,First,24.3,1248,88.5,5,10.46,1046000
Fiat Avventura MULTIJET Emotion,Pune,2014,52782,Diesel,Manual,First,20.5,1248,91.72,5,4.85,485000
Honda Amaze S Petrol,Kochi,2016,51672,Petrol,Manual,First,19.5,1199,88.76,5,5.68,568000
Skoda Superb Elegance 1.8 TSI AT,Mumbai,2015,56073,Petrol,Automatic,First,13.7,1798,157.75,5,13.25,1325000
Jaguar XF 3.0 Litre S Premium Luxury,Bangalore,2011,65000,Diesel,Automatic,First,14.74,2993,270.9,5,16,1600000
Maruti Wagon R VXI BSIII,Chennai,2013,79000,Petrol,Manual,First,18.9,998,67.1,5,3,300000
